global_epoch,phase,epoch,train_loss,val_loss,train_acc,val_acc
1,1,1,2.7004,0.8156,74.78,88.95
2,1,2,1.5529,0.5875,84.26,90.51
3,1,3,1.4281,0.508,85.94,92.18
4,1,4,1.229,0.4385,87.56,93.25
5,1,5,1.17,0.3749,88.5,93.94
6,2,1,1.0499,0.367,89.17,94.03
7,2,2,0.5126,0.2409,93.19,96.4
8,2,3,0.4156,0.5492,94.81,93.94
9,2,4,0.3586,0.3438,95.93,95.58
10,2,5,0.3227,0.3379,96.15,95.54
11,2,6,0.3162,0.4459,96.43,94.8
12,2,7,0.2095,0.2066,97.43,96.64
13,2,8,0.2047,0.1501,97.43,97.67
14,2,9,0.1445,0.1763,98.05,97.63
15,2,10,0.1997,0.1591,97.32,97.5
16,2,11,0.1753,0.141,97.49,98.2
17,2,12,0.1833,0.1514,97.82,97.83
18,2,13,0.189,0.1301,97.99,98.04
19,2,14,0.0705,0.148,98.72,97.75
20,2,15,0.1141,0.1377,98.05,98.08
